name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
abalone,'Sex',4177,0.5056,0.3501,1.144,0.0015,0.6659,1.0969,1.1266,1.0,0.0,,,1.0,1.0,DecisionTree,0.211638880473907,0.214934928417983,0.2090177671339412,0.214895607162474,0.2151191467830536,0.2126094785511044,0.2066178081652923,0.214934928417983
abalone,'Sex',4177,0.5056,0.3501,1.144,0.0015,0.6659,1.0969,1.1266,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2121529949466389,0.2119382344498836,0.2201626261556488,0.2191837974823549,0.219993015756554,0.2268989196514312,0.2245340619157465,0.2119382344498836
abalone,'Sex',4177,0.5056,0.3501,1.144,0.0015,0.6659,1.0969,1.1266,1.0,0.0,,,1.0,1.0,KNN,0.1888013753270784,0.191189843533829,0.1884201340011918,0.1897282276427402,0.1879536296940026,0.1895910882474118,0.1858122981206097,0.191189843533829
abalone,'Sex',4177,0.5056,0.3501,1.144,0.0015,0.6659,1.0969,1.1266,1.0,0.0,,,1.0,1.0,RandomForest,0.2122354441979152,0.2183267877432118,0.2173009981538632,0.2162620300504059,0.2149462253104299,0.2160815517992578,0.2158455845632536,0.2177840862346727
abalone,'Sex',4177,0.5056,0.3501,1.144,0.0015,0.6659,1.0969,1.1266,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,'Sex',4177,0.5059,0.3459,1.0851,0.0015,0.6666,1.098,0.6843,1.0,0.0,,,1.0,1.0,SVC,0.2094576583865091,0.2106454860695873,0.2043902167722785,0.2118146777757571,0.2118146777757571,0.2196961870829609,0.2170367860528538,0.2106454860695873
abalone,'Sex',4177,0.4357,0.3683,1.2022,0.0013,0.6649,1.0956,2.2661,1.0,0.0,,,1.0,1.0,DecisionTree,0.2117951738024585,0.2118043211377705,0.2076441340226055,0.2130311511819363,0.2129172021671745,0.2106867363631521,0.2135671892380373,0.2118043211377705
abalone,'Sex',4177,0.4357,0.3683,1.2022,0.0013,0.6649,1.0956,2.2661,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2171076353500615,0.2135315090570915,0.2110355680813418,0.2172880060011122,0.2171775415279261,0.2258968016959977,0.2242795976312022,0.2135315090570915
abalone,'Sex',4177,0.4357,0.3683,1.2022,0.0013,0.6649,1.0956,2.2661,1.0,0.0,,,1.0,1.0,KNN,0.1950081759663904,0.1902444108806881,0.194048616940213,0.190547635506085,0.1931934269332606,0.190848050205621,0.1881579826647218,0.1902444108806881
abalone,'Sex',4177,0.4357,0.3683,1.2022,0.0013,0.6649,1.0956,2.2661,1.0,0.0,,,1.0,1.0,RandomForest,0.2209257727079382,0.2210788076819833,0.2095621540533833,0.2165763617338785,0.2164915326890891,0.2221911336160471,0.2148732942059012,0.2189622416549639
abalone,'Sex',4177,0.4357,0.3683,1.2022,0.0013,0.6649,1.0956,2.2661,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,'Sex',4177,0.4472,0.3625,1.1529,0.0013,0.6656,1.0967,1.2638,1.0,0.0,,,1.0,1.0,SVC,0.2059288758825036,0.2121790195000915,0.2039507852657323,0.2041266885600677,0.2041266885600677,0.2095537964922792,0.2081946164172457,0.2121790195000915
abalone,'Sex',4177,0.4087,0.3656,1.2008,0.0012,0.6651,1.0958,3.9629,1.0,0.0,,,1.0,1.0,DecisionTree,0.210756825925192,0.2099806748339173,0.2093088035093107,0.2078342798568458,0.2078342798568458,0.2118171924332189,0.2196380891614265,0.2099806748339173
abalone,'Sex',4177,0.4087,0.3656,1.2008,0.0012,0.6651,1.0958,3.9629,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2194143857839625,0.2143462254194307,0.2184633199101395,0.2241024715927162,0.2241024715927162,0.2289876620446579,0.22675862214993,0.2143462254194307
abalone,'Sex',4177,0.4087,0.3656,1.2008,0.0012,0.6651,1.0958,3.9629,1.0,0.0,,,1.0,1.0,KNN,0.1935580676088193,0.1912277505087776,0.1789008242425317,0.1965841512049426,0.1965841512049426,0.1921764691153736,0.1986437520528513,0.1912277505087776
abalone,'Sex',4177,0.4087,0.3656,1.2008,0.0012,0.6651,1.0958,3.9629,1.0,0.0,,,1.0,1.0,RandomForest,0.219899044737376,0.2188094868049186,0.2124414000728396,0.2175269432642093,0.2192167372923345,0.2229773489674509,0.2297000289248102,0.2165745296195474
