name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
abalone,'Sex',4177,0.5032,0.3643,1.1507,0.0014,0.6655,1.0965,1.2421,1.0,0.0,,,1.0,1.0,DecisionTree,0.2129397363374738,0.2068365693775397,0.2015041826686946,0.2193882938432562,0.2193882938432562,0.2137283710951584,0.2184172587741359,0.2070513530511369
abalone,'Sex',4177,0.5032,0.3643,1.1507,0.0014,0.6655,1.0965,1.2421,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2188237292862173,0.217914163897414,0.2183383284392421,0.2255034290428237,0.2255034290428237,0.229007971782893,0.2277167502662992,0.217914163897414
abalone,'Sex',4177,0.5032,0.3643,1.1507,0.0014,0.6655,1.0965,1.2421,1.0,0.0,,,1.0,1.0,KNN,0.1946548456399884,0.1962566036889003,0.198667503780749,0.196150330117842,0.196150330117842,0.1942794431608135,0.2015749047316292,0.1962566036889003
abalone,'Sex',4177,0.5032,0.3643,1.1507,0.0014,0.6655,1.0965,1.2421,1.0,0.0,,,1.0,1.0,RandomForest,0.2207005727735783,0.2191522135292743,0.2139475921506655,0.2261417410923916,0.2273169300892217,0.2223808876588772,0.2252964551804788,0.2199460692165238
abalone,'Sex',4177,0.5032,0.3643,1.1507,0.0014,0.6655,1.0965,1.2421,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,'Sex',4177,0.4992,0.3571,1.144,0.0014,0.666,1.0971,1.2342,1.0,0.0,,,1.0,1.0,SVC,0.2118838324689025,0.2124350942921014,0.2141886919521574,0.2102037496214391,0.2102048814008619,0.2123483523149643,0.2129192821583811,0.2124350942921014
abalone,'Sex',4177,0.4587,0.3777,1.2522,0.0013,0.6638,1.094,1.7733,1.0,0.0,,,1.0,1.0,DecisionTree,0.2042236385149627,0.2006085105722039,0.2095715352108673,0.2035731763854145,0.2035731763854145,0.1964604272645914,0.2016380993013654,0.2006085105722039
abalone,'Sex',4177,0.4587,0.3777,1.2522,0.0013,0.6638,1.094,1.7733,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2152601074744262,0.21508514474096,0.2213792116461635,0.2186638482177248,0.2186638482177248,0.2219081726352634,0.2264064754908076,0.21508514474096
abalone,'Sex',4177,0.4587,0.3777,1.2522,0.0013,0.6638,1.094,1.7733,1.0,0.0,,,1.0,1.0,KNN,0.2018682505202413,0.1961735851679075,0.1938088816873744,0.194150210537395,0.194150210537395,0.1936768878486265,0.1887270875502005,0.1961735851679075
abalone,'Sex',4177,0.4587,0.3777,1.2522,0.0013,0.6638,1.094,1.7733,1.0,0.0,,,1.0,1.0,RandomForest,0.2178535567425212,0.2146453703277312,0.2146022017674602,0.213834049858963,0.2160135506082675,0.2144947204866249,0.2153005872732628,0.2192954665693492
abalone,'Sex',4177,0.4587,0.3777,1.2522,0.0013,0.6638,1.094,1.7733,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,'Sex',4177,0.4623,0.3642,1.1457,0.0013,0.6655,1.0965,1.2118,1.0,0.0,,,1.0,1.0,SVC,0.2063313363144506,0.206447295294233,0.211655220754171,0.2046592111265157,0.2046592111265157,0.2161503842368145,0.2109925842806765,0.206447295294233
abalone,'Sex',4177,0.413,0.3589,1.1253,0.0012,0.666,1.0972,4.2569,1.0,0.0,,,1.0,1.0,DecisionTree,0.2114989380190551,0.2127544930860759,0.2081167429199147,0.212564003309798,0.2123019628813033,0.2098247978680611,0.2153731433136551,0.2129228689192206
abalone,'Sex',4177,0.413,0.3589,1.1253,0.0012,0.666,1.0972,4.2569,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2259878456804126,0.2255272181458238,0.2200224023772668,0.2173962970265253,0.2173962970265253,0.222371730038065,0.2176264289342112,0.2255272181458238
abalone,'Sex',4177,0.413,0.3589,1.1253,0.0012,0.666,1.0972,4.2569,1.0,0.0,,,1.0,1.0,KNN,0.2014412737577302,0.2064130569709807,0.1938669912256533,0.1895126891595488,0.1895126891595488,0.1930014376966312,0.1928498525234098,0.2064130569709807
abalone,'Sex',4177,0.413,0.3589,1.1253,0.0012,0.666,1.0972,4.2569,1.0,0.0,,,1.0,1.0,RandomForest,0.2176290181138888,0.2154891662108543,0.2158539986244612,0.2273010752564528,0.2283847726862635,0.2200373917828595,0.2278797355881952,0.2163505685336535
abalone,'Sex',4177,0.413,0.3589,1.1253,0.0012,0.666,1.0972,4.2569,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,'Sex',4177,0.4044,0.369,1.1938,0.0012,0.6649,1.0957,2.2134,1.0,0.0,,,1.0,1.0,SVC,0.2172433194575726,0.2166004540063897,0.2009781550802007,0.2013540559449692,0.1994527928620516,0.2050891533174479,0.2054238098056484,0.2166004540063897
