name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto
abalone,'Sex',4177,0.5049,0.3694,1.2089,0.0015,0.6648,1.0954,1.5625,1.0,0.0,,,1.0,1.0,DecisionTree,0.2063510460276924,0.215265400272398,0.2165866522639749,0.2053957052916695,0.2045615758815673,0.211801803803116,0.2163436004830697,0.215265400272398
abalone,'Sex',4177,0.5049,0.3694,1.2089,0.0015,0.6648,1.0954,1.5625,1.0,0.0,,,1.0,1.0,LogisticRegression,0.2184820448724687,0.2149352641250345,0.2202023454247082,0.2217829793362532,0.2221748476149243,0.2209133080093803,0.2171674702143427,0.2149352641250345
abalone,'Sex',4177,0.5049,0.3694,1.2089,0.0015,0.6648,1.0954,1.5625,1.0,0.0,,,1.0,1.0,KNN,0.1887781345317142,0.1934409920456367,0.1961477718132216,0.1905319171874208,0.1891287830102631,0.1964538743247136,0.1928697145808246,0.1934409920456367
abalone,'Sex',4177,0.5049,0.3694,1.2089,0.0015,0.6648,1.0954,1.5625,1.0,0.0,,,1.0,1.0,RandomForest,0.226369461101056,0.2216573939265548,0.2238286716855509,0.2203035333125997,0.2179112977253444,0.2217146448670673,0.2257785697290753,0.22325662474573
abalone,'Sex',4177,0.5049,0.3694,1.2089,0.0015,0.6648,1.0954,1.5625,1.0,0.0,,,1.0,1.0,AdaBoost,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872,0.0986500755143872
abalone,'Sex',4177,0.5063,0.3584,1.1231,0.0015,0.666,1.0972,1.0234,1.0,0.0,,,1.0,1.0,SVC,0.2152844794882859,0.2201634801289881,0.205840255913427,0.1973816114709629,0.1973816114709629,0.2190133817750125,0.203005034515002,0.2201634801289881
abalone,'Sex',4177,0.4587,0.3627,1.1631,0.0013,0.6656,1.0966,1.0777,1.0,0.0,,,1.0,1.0,DecisionTree,0.2060789650342984,0.2085419268819734,0.2023252347449272,0.2055603153698759,0.2055603153698759,0.2086364495456756,0.2117038766908823,0.2085419268819734
abalone,'Sex',4177,0.4587,0.3627,1.1631,0.0013,0.6656,1.0966,1.0777,1.0,0.0,,,1.0,1.0,LogisticRegression,0.215282037390364,0.2146622444069811,0.217733185591005,0.2192187274566359,0.2192187274566359,0.2228926429622482,0.223274840277157,0.2146622444069811
abalone,'Sex',4177,0.4587,0.3627,1.1631,0.0013,0.6656,1.0966,1.0777,1.0,0.0,,,1.0,1.0,KNN,0.1909082987619568,0.1961897829284817,0.1819123115426848,0.1906458578619604,0.1906458578619604,0.1950363262629759,0.1841491656366531,0.1961897829284817
abalone,'Sex',4177,0.4587,0.3627,1.1631,0.0013,0.6656,1.0966,1.0777,1.0,0.0,,,1.0,1.0,RandomForest,0.2073208215541468,0.2118680798192321,0.2125827416364412,0.215634989399622,0.2200716710065851,0.2169408188555612,0.2141198636044641,0.2129038168856245
