name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,'Length',4177.0,0.5008,0.0595,0.13,0.815,0.5193,0.535,0.1213,-0.5867,-0.0893,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5073,0.0062,DecisionTree,0.17346302752980203,0.1702892988361061,0.16495230550637607,0.16568671996366421,0.16465094190100985,0.16427303102747945,0.16988751283853276,0.15956219331133903,0.1695296884867309
abalone,'Length',4177.0,0.5008,0.0595,0.13,0.815,0.5193,0.535,0.1213,-0.5867,-0.0893,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5073,0.0062,LogisticRegression,0.16752527713255294,0.14093768009193391,0.16330034298535,0.16238937381366195,0.16331876945175008,0.163201262788755,0.15966064223822174,0.16037460029364375,0.16250975671357804
abalone,'Length',4177.0,0.5008,0.0595,0.13,0.815,0.5193,0.535,0.1213,-0.5867,-0.0893,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5073,0.0062,KNN,0.14992967676472965,0.16461032800709513,0.14598807548164877,0.14535940206599463,0.14479318567671753,0.14802063543504665,0.16884229516708418,0.15646085976099358,0.14429885239442058
abalone,'Length',4177.0,0.5008,0.0595,0.13,0.815,0.5193,0.535,0.1213,-0.5867,-0.0893,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5073,0.0062,RandomForest,0.17491994004022474,0.17301948692644062,0.17232736229681545,0.17185220583870392,0.17182324603848667,0.17321285706967968,0.17733212528568087,0.16864771126198225,0.17173437850058457
abalone,'Length',4177.0,0.5008,0.0595,0.13,0.815,0.5193,0.535,0.1213,-0.5867,-0.0893,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5073,0.0062,AdaBoost,0.08430420356143865,0.08430420356143865,0.08525302189629078,0.08480191966898148,0.08492075182717859,0.0848085756802254,0.08654668273623778,0.08430420356143865,0.08492075182717859
abalone,'Length',4177.0,0.5008,0.0595,0.13,0.815,0.5193,0.535,0.1213,-0.5867,-0.0893,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5073,0.0062,SVC,0.16547229317227855,0.1503082804311218,0.15066613417099334,0.15115065544188255,0.15116041381101142,0.15114844433018249,0.15449674795470827,0.17068980307751336,0.15096388398183153
abalone,'Length',4177.0,0.453,0.0565,0.11,0.815,0.5234,0.54,0.12,-0.6834,0.1084,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5005,0.0057,DecisionTree,0.1668458062885695,0.16306778039730224,0.16758820364197752,0.1673927225571024,0.1680184513175061,0.1680184513175061,0.1542136264033606,0.16232410524259425,0.1673927225571024
abalone,'Length',4177.0,0.453,0.0565,0.11,0.815,0.5234,0.54,0.12,-0.6834,0.1084,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5005,0.0057,LogisticRegression,0.16958639060084474,0.1533660508702619,0.16980423006580456,0.17191072368736862,0.17001237657537147,0.17263271318251783,0.17043319529795836,0.16081732643860752,0.16941685540185414
abalone,'Length',4177.0,0.453,0.0565,0.11,0.815,0.5234,0.54,0.12,-0.6834,0.1084,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5005,0.0057,KNN,0.16369658803237488,0.16389966520241106,0.16287182307705858,0.15962071796022204,0.16184876383595628,0.1654637638091162,0.16768929020076195,0.1689117219659542,0.16326149761461684
abalone,'Length',4177.0,0.453,0.0565,0.11,0.815,0.5234,0.54,0.12,-0.6834,0.1084,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5005,0.0057,RandomForest,0.17024942647330987,0.16562502016923192,0.17022855857351135,0.17095307237408042,0.17067354248021152,0.1688042241946821,0.1767642698800418,0.16508440848530384,0.17159644873703528
