name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
abalone,'Length',4177.0,0.4937,0.061,0.11,0.8,0.5239,0.54,0.1192,-0.5892,-0.0701,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0.0057,DecisionTree,0.1644979433349884,0.16873410234352418,0.16818945249940392,0.16818945249940392,0.16818945249940392,0.1698304009354013,0.17457386284759882,0.16653352852035366,0.1717854737948061
abalone,'Length',4177.0,0.4937,0.061,0.11,0.8,0.5239,0.54,0.1192,-0.5892,-0.0701,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0.0057,LogisticRegression,0.17427724408064563,0.15427868786130797,0.17557569112897922,0.17524923439482398,0.17382515022872735,0.17596031874134643,0.17933394562823063,0.15866314375706106,0.17651646733426918
abalone,'Length',4177.0,0.4937,0.061,0.11,0.8,0.5239,0.54,0.1192,-0.5892,-0.0701,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0.0057,KNN,0.1689608775860551,0.16265464026627235,0.1678773037315384,0.1648170734898027,0.16469899099504914,0.15922907524735963,0.17435910219610698,0.16714080827282063,0.1614684310624332
abalone,'Length',4177.0,0.4937,0.061,0.11,0.8,0.5239,0.54,0.1192,-0.5892,-0.0701,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0.0057,RandomForest,0.1744135902950061,0.1754474212180948,0.17532129290380083,0.17514639000381488,0.17600182683962973,0.17523444576968977,0.18403121074906018,0.17707113227967394,0.17318572103206142
abalone,'Length',4177.0,0.4937,0.061,0.11,0.8,0.5239,0.54,0.1192,-0.5892,-0.0701,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0.0057,AdaBoost,0.09304654655812876,0.09302710903270334,0.0965497606737345,0.0965497606737345,0.0965497606737345,0.0965497606737345,0.0965497606737345,0.07284973294042707,0.0965497606737345
abalone,'Length',4177.0,0.4937,0.061,0.11,0.8,0.5239,0.54,0.1192,-0.5892,-0.0701,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.499,0.0057,SVC,0.17070347941352487,0.15314887935026264,0.1641960256342636,0.1637100331401995,0.163636221893971,0.16437846922631028,0.1621737762288171,0.16817645782640947,0.16541398981297284
abalone,'Length',4177.0,0.4412,0.0557,0.075,0.815,0.5224,0.54,0.1197,-0.6181,0.0352,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5057,0.0056,DecisionTree,0.16599652932149367,0.16846899004897387,0.16793090409350736,0.1728597762188731,0.17312080387274076,0.1728609112387463,0.16946757276559762,0.16823429020249736,0.17069653103390933
abalone,'Length',4177.0,0.4412,0.0557,0.075,0.815,0.5224,0.54,0.1197,-0.6181,0.0352,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5057,0.0056,LogisticRegression,0.17073284316085352,0.15626982452734767,0.17493107355178816,0.17374788632279825,0.17524979208410385,0.17483426983273145,0.1783709194872129,0.16810359957887547,0.17685071187744475
abalone,'Length',4177.0,0.4412,0.0557,0.075,0.815,0.5224,0.54,0.1197,-0.6181,0.0352,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5057,0.0056,KNN,0.1712682032850096,0.15894824606521069,0.16409744278432228,0.1659359832341471,0.16469582041702627,0.16398552166024374,0.172349655117578,0.16829632645734244,0.16706447686142062
abalone,'Length',4177.0,0.4412,0.0557,0.075,0.815,0.5224,0.54,0.1197,-0.6181,0.0352,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5057,0.0056,RandomForest,0.17733484302661856,0.17734188199344617,0.18396146080175457,0.18442117291326426,0.1843787967565794,0.18420480423840005,0.1873331098646537,0.1813663228073354,0.18339863609948795
abalone,'Length',4177.0,0.4412,0.0557,0.075,0.815,0.5224,0.54,0.1197,-0.6181,0.0352,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5057,0.0056,AdaBoost,0.0862993838152719,0.0812876889026988,0.08512910078029176,0.08512910078029176,0.08512910078029176,0.08512910078029176,0.08512910078029176,0.0862993838152719,0.08512910078029176
abalone,'Length',4177.0,0.4412,0.0557,0.075,0.815,0.5224,0.54,0.1197,-0.6181,0.0352,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5057,0.0056,SVC,0.1669215072441806,0.1557320975551298,0.16237702700340415,0.16300303725152807,0.1629236604531032,0.16332358846170192,0.16272130891873557,0.1628657295945467,0.16242749993504305
abalone,'Length',4177.0,0.4032,0.0521,0.075,0.8,0.5242,0.545,0.1199,-0.708,0.1745,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4952,0.0053,DecisionTree,0.18467176755184458,0.190055926456905,0.1742088002354064,0.17428694054543326,0.1742088002354064,0.17418108144889222,0.17897341655231752,0.18219740176040738,0.1765519049751102
abalone,'Length',4177.0,0.4032,0.0521,0.075,0.8,0.5242,0.545,0.1199,-0.708,0.1745,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4952,0.0053,LogisticRegression,0.17967962883883734,0.1761528448554432,0.18295954075336868,0.1814479177421952,0.1830111759957983,0.18274097973367284,0.18131823633297933,0.17395926026167924,0.18210109492601206
abalone,'Length',4177.0,0.4032,0.0521,0.075,0.8,0.5242,0.545,0.1199,-0.708,0.1745,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4952,0.0053,KNN,0.1659850710047286,0.1633387252420041,0.166494938653936,0.1574432766796623,0.16150340933769522,0.16195548307604507,0.17420613005358734,0.17023785092055538,0.1672561135616674
abalone,'Length',4177.0,0.4032,0.0521,0.075,0.8,0.5242,0.545,0.1199,-0.708,0.1745,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4952,0.0053,RandomForest,0.18598267528464388,0.18126254981060225,0.18546191734626521,0.18418139196079722,0.18592040595835316,0.18649417792124726,0.18981091661272367,0.18359420524808762,0.18626232578818633
abalone,'Length',4177.0,0.4032,0.0521,0.075,0.8,0.5242,0.545,0.1199,-0.708,0.1745,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4952,0.0053,AdaBoost,0.10368237021094151,0.08771803644823879,0.09718825969543364,0.09718825969543364,0.09718825969543364,0.09718825969543364,0.0966313858096561,0.10413581762826808,0.09718825969543364
abalone,'Length',4177.0,0.4032,0.0521,0.075,0.8,0.5242,0.545,0.1199,-0.708,0.1745,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4952,0.0053,SVC,0.1817148249491062,0.16507177734611314,0.1770842622149106,0.17708263520831558,0.17696903587654086,0.1770842622149106,0.1764650489803561,0.180402415824108,0.1770842622149106
abalone,'Length',4177.0,0.3443,0.0475,0.13,0.815,0.524,0.545,0.12,-0.6145,-0.0101,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5078,0.0057,DecisionTree,0.18701862050862234,0.18706060011883904,0.18136788025816086,0.18182828085216857,0.18182828085216857,0.18109091572167862,0.18011479883370235,0.1796382749490643,0.18044038857901668
abalone,'Length',4177.0,0.3443,0.0475,0.13,0.815,0.524,0.545,0.12,-0.6145,-0.0101,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5078,0.0057,LogisticRegression,0.182759533778632,0.18013657144991244,0.19041634871020083,0.19062614041721127,0.1910627585205008,0.19038388128936942,0.1911333924129211,0.1794896192366896,0.19135345814128152
abalone,'Length',4177.0,0.3443,0.0475,0.13,0.815,0.524,0.545,0.12,-0.6145,-0.0101,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5078,0.0057,KNN,0.17320027616386857,0.1694122796863512,0.17961455828964068,0.17561417289884973,0.1778478727353506,0.1804871145144306,0.18235024168318048,0.1708321371109329,0.18156862349912645
abalone,'Length',4177.0,0.3443,0.0475,0.13,0.815,0.524,0.545,0.12,-0.6145,-0.0101,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5078,0.0057,RandomForest,0.18651412553237934,0.18672754930446853,0.1914652081644025,0.191375943540615,0.1912366832910606,0.19140967936708544,0.18865018271437156,0.18354890151366238,0.19118598169473808
abalone,'Length',4177.0,0.3443,0.0475,0.13,0.815,0.524,0.545,0.12,-0.6145,-0.0101,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5078,0.0057,AdaBoost,0.08294771618787738,0.0958532255061682,0.09588150975779151,0.09588150975779151,0.09588150975779151,0.09588150975779151,0.09588150975779151,0.08294771618787738,0.09588150975779151
abalone,'Length',4177.0,0.3443,0.0475,0.13,0.815,0.524,0.545,0.12,-0.6145,-0.0101,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5078,0.0057,SVC,0.1806858783887614,0.17051292718309904,0.17853243221606452,0.1782531508340374,0.17824118238603176,0.17905007330036582,0.17664477541468673,0.17488885017575864,0.17809621951668891
abalone,'Length',4177.0,0.304,0.0458,0.075,0.815,0.5228,0.54,0.1203,-0.6214,0.0357,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.515,0.0054,DecisionTree,0.18129298332595162,0.17881964630081074,0.172472752368937,0.17199150913567024,0.17215120305785583,0.17215120305785583,0.17331955720043493,0.17709306009191164,0.17332920116688846
abalone,'Length',4177.0,0.304,0.0458,0.075,0.815,0.5228,0.54,0.1203,-0.6214,0.0357,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.515,0.0054,LogisticRegression,0.17465657723279399,0.1633399462588928,0.18226554217064195,0.18225044626016906,0.1823894025694096,0.1824253401388268,0.1826763642039332,0.16892109248291412,0.18201653819441613
abalone,'Length',4177.0,0.304,0.0458,0.075,0.815,0.5228,0.54,0.1203,-0.6214,0.0357,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.515,0.0054,KNN,0.1765336775760725,0.1681282898395282,0.17565999817868816,0.17874441030456223,0.17485129425196766,0.17519414463886943,0.17915172449224326,0.1739917696745685,0.1687058933282587
abalone,'Length',4177.0,0.304,0.0458,0.075,0.815,0.5228,0.54,0.1203,-0.6214,0.0357,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.515,0.0054,RandomForest,0.18286086994963996,0.17405325370757418,0.17817675619811793,0.1786253421945459,0.17830561126619618,0.17803611111356213,0.18500676948727773,0.18014117067102803,0.17721501086292013
abalone,'Length',4177.0,0.304,0.0458,0.075,0.815,0.5228,0.54,0.1203,-0.6214,0.0357,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.515,0.0054,AdaBoost,0.07945418198800182,0.092172837673936,0.0909996514601985,0.0909996514601985,0.0909996514601985,0.09101224599469121,0.0909996514601985,0.07934342529829777,0.0909996514601985
abalone,'Length',4177.0,0.304,0.0458,0.075,0.815,0.5228,0.54,0.1203,-0.6214,0.0357,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.515,0.0054,SVC,0.17307674435911588,0.16639948426755805,0.16980160663341504,0.16980160663341504,0.16944684634354648,0.16980160663341504,0.16838355402652175,0.16850137481336835,0.16893037915855166
abalone,'Length',4177.0,0.2531,0.0426,0.075,0.815,0.5236,0.545,0.1214,-0.6306,0.0298,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5203,0.0055,DecisionTree,0.18815050906103992,0.19348462929816573,0.1814104216462108,0.18156839839927758,0.18433843078014692,0.18421410593177795,0.18049463466570254,0.18963577920712882,0.18418045402708016
abalone,'Length',4177.0,0.2531,0.0426,0.075,0.815,0.5236,0.545,0.1214,-0.6306,0.0298,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5203,0.0055,LogisticRegression,0.2008537919579766,0.1940863629105101,0.20122975531731507,0.2019812598522849,0.2012332564525926,0.20199298187660947,0.20084710954116033,0.19229776908864415,0.2007720717212882
abalone,'Length',4177.0,0.2531,0.0426,0.075,0.815,0.5236,0.545,0.1214,-0.6306,0.0298,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5203,0.0055,KNN,0.1850024791630241,0.17654747331907628,0.18277524519061006,0.18306500827102068,0.18362540919053905,0.18026539484684173,0.17650462391318456,0.18134161471656718,0.17688054793159386
abalone,'Length',4177.0,0.2531,0.0426,0.075,0.815,0.5236,0.545,0.1214,-0.6306,0.0298,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5203,0.0055,RandomForest,0.19165859811390376,0.18932753478844674,0.19153833162955167,0.19099416370257294,0.19064865224944091,0.19081897283952243,0.19314745844749132,0.19015739475564578,0.1915858690255232
abalone,'Length',4177.0,0.2531,0.0426,0.075,0.815,0.5236,0.545,0.1214,-0.6306,0.0298,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5203,0.0055,AdaBoost,0.08739661962972631,0.10144522872835242,0.09497058256476502,0.09497058256476502,0.09497058256476502,0.09497058256476502,0.09497058256476502,0.08711086967528409,0.09497058256476502
abalone,'Length',4177.0,0.2531,0.0426,0.075,0.815,0.5236,0.545,0.1214,-0.6306,0.0298,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5203,0.0055,SVC,0.18763275030617568,0.17840409566253518,0.18202424848456136,0.18202424848456136,0.18202424848456136,0.18221419621155496,0.1822076861873898,0.18792581749647258,0.1825885935775199
abalone,'Length',4177.0,0.2078,0.0399,0.075,0.8,0.5222,0.54,0.1213,-0.6119,0.0149,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5249,0.0056,DecisionTree,0.20132040410688729,0.20981752803304357,0.20266527246403174,0.20266527246403174,0.20266527246403174,0.20266527246403174,0.2026967775918641,0.18791555097648052,0.20266527246403174
abalone,'Length',4177.0,0.2078,0.0399,0.075,0.8,0.5222,0.54,0.1213,-0.6119,0.0149,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5249,0.0056,LogisticRegression,0.19852392675801525,0.19994424709617345,0.2068510711117234,0.2065869925963913,0.20645328095481777,0.20722675167328908,0.20721207749178,0.19699921839402357,0.2063180676771766
