name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,best_methods
abalone,'Sex',4177.0,0.35262499999999997,0.36410000000000003,1.1621125,0.0011,0.6653625,1.0963375,5.405475,1.0,0.0,,,1.0,1.0,LogisticRegression,"['impute_logistic_regression', 'impute_random_forest', 'impute_standard', 'impute_random']"
abalone,'Sex',4177.0,0.35262499999999997,0.36410000000000003,1.1621125,0.0011,0.6653625,1.0963375,5.405475,1.0,0.0,,,1.0,1.0,KNN,"['impute_logistic_regression', 'impute_standard', 'impute_random_forest', 'impute_knn', 'impute_mice', 'impute_kproto', 'impute_mode', 'impute_random']"
abalone,'Sex',4177.0,0.35262499999999997,0.36410000000000003,1.1621125,0.0011,0.6653625,1.0963375,5.405475,1.0,0.0,,,1.0,1.0,RandomForest,"['impute_standard', 'impute_kproto', 'impute_random_forest', 'impute_mode', 'impute_mice', 'impute_logistic_regression', 'impute_knn', 'impute_random']"
abalone,'Sex',4177.0,0.35262499999999997,0.36410000000000003,1.1621125,0.0011,0.6653625,1.0963375,5.405475,1.0,0.0,,,1.0,1.0,AdaBoost,"['impute_random', 'impute_kproto', 'impute_random_forest', 'impute_logistic_regression', 'impute_mice', 'impute_knn', 'impute_mode', 'impute_standard']"
abalone,'Sex',4177.0,0.3488875,0.3668625000000001,1.1779750000000002,0.0011,0.6651124999999999,1.095925,3.8521625000000004,1.0,0.0,,,1.0,1.0,SVC,"['impute_random_forest', 'impute_logistic_regression', 'impute_standard', 'impute_kproto', 'impute_mode']"
abalone,'Sex',4177.0,0.2980625,0.36684999999999995,1.1811749999999999,0.001,0.6650625,1.095875,6.4342625,1.0,0.0,,,1.0,1.0,DecisionTree,"['impute_random', 'impute_mode', 'impute_kproto', 'impute_mice', 'impute_knn', 'impute_random_forest', 'impute_logistic_regression', 'impute_standard']"
abalone,'Sex',4177.0,0.2980625,0.36684999999999995,1.1811749999999999,0.001,0.6650625,1.095875,6.4342625,1.0,0.0,,,1.0,1.0,LogisticRegression,"['impute_random_forest', 'impute_logistic_regression', 'impute_standard', 'impute_knn', 'impute_mice', 'impute_random', 'impute_kproto', 'impute_mode']"
abalone,'Sex',4177.0,0.2980625,0.36684999999999995,1.1811749999999999,0.001,0.6650625,1.095875,6.4342625,1.0,0.0,,,1.0,1.0,KNN,"['impute_standard', 'impute_logistic_regression', 'impute_kproto', 'impute_mode', 'impute_random_forest', 'impute_random', 'impute_knn', 'impute_mice']"
abalone,'Sex',4177.0,0.2980625,0.36684999999999995,1.1811749999999999,0.001,0.6650625,1.095875,6.4342625,1.0,0.0,,,1.0,1.0,RandomForest,"['impute_kproto', 'impute_logistic_regression', 'impute_mode', 'impute_standard', 'impute_random', 'impute_random_forest', 'impute_knn', 'impute_mice']"
abalone,'Sex',4177.0,0.2980625,0.36684999999999995,1.1811749999999999,0.001,0.6650625,1.095875,6.4342625,1.0,0.0,,,1.0,1.0,AdaBoost,"['impute_kproto', 'impute_random_forest', 'impute_logistic_regression', 'impute_mice', 'impute_knn', 'impute_random', 'impute_mode', 'impute_standard']"
