name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_standard,impute_mean,impute_median,impute_random,impute_knn,impute_mice,impute_linear_regression,impute_random_forest,impute_cmeans
mv,x4,40768.0,0.4994,0.9769,-7.4999,2.4997,-4.3886,-5.717,3.0207,0.9674,-0.6046,1.052,4.9009,0.0127,0.7033,0.0097,0.5041,0.0146,0.6678,9.8913,0.0,DecisionTree,0.9521224825122712,0.9466335793912947,0.9520025659535857,0.952082036162997,0.9520823933352702,0.9521224825122712,0.9518418098360918,0.9519673961835644,0.9521224825122712
mv,x4,40768.0,0.4994,0.9769,-7.4999,2.4997,-4.3886,-5.717,3.0207,0.9674,-0.6046,1.052,4.9009,0.0127,0.7033,0.0097,0.5041,0.0146,0.6678,9.8913,0.0,LogisticRegression,0.949144093879347,0.9482038507188315,0.9494494355739702,0.9496748663105987,0.9496545054475144,0.9493702197169385,0.9496540048392828,0.9486935900142572,0.9496128075648005
mv,x4,40768.0,0.4994,0.9769,-7.4999,2.4997,-4.3886,-5.717,3.0207,0.9674,-0.6046,1.052,4.9009,0.0127,0.7033,0.0097,0.5041,0.0146,0.6678,9.8913,0.0,KNN,0.9486464522406541,0.9468374480978641,0.946477144183241,0.9474229352552126,0.9470016882128125,0.9477812752065528,0.9487280730251497,0.9485746894343761,0.9472697363816305
mv,x4,40768.0,0.4994,0.9769,-7.4999,2.4997,-4.3886,-5.717,3.0207,0.9674,-0.6046,1.052,4.9009,0.0127,0.7033,0.0097,0.5041,0.0146,0.6678,9.8913,0.0,RandomForest,0.9522363858896248,0.9514551313101197,0.9517258003257156,0.9510625379847959,0.9510123763932785,0.9512838795030409,0.9511480655822145,0.9518017199826118,0.951261742574008
mv,x4,40768.0,0.4994,0.9769,-7.4999,2.4997,-4.3886,-5.717,3.0207,0.9674,-0.6046,1.052,4.9009,0.0127,0.7033,0.0097,0.5041,0.0146,0.6678,9.8913,0.0,AdaBoost,0.9520302393067988,0.9490796722104368,0.9520741343731296,0.9522257892178065,0.9521518675665036,0.9521358800345502,0.952277982598765,0.9516630952567551,0.9518512504339907
mv,x4,40768.0,0.4994,0.9769,-7.4999,2.4997,-4.3886,-5.717,3.0207,0.9674,-0.6046,1.052,4.9009,0.0127,0.7033,0.0097,0.5041,0.0146,0.6678,9.8913,0.0,SVC,0.9139829463099352,0.9078710217999562,0.9263420301867257,0.9272234254285068,0.9274090811914995,0.9189603136226565,0.9146874256505713,0.9119720489065568,0.9269226119251033
mv,x4,40768.0,0.4522,0.9764,-7.4995,2.4997,-4.3962,-5.73,3.0211,0.9737,-0.5912,1.039,4.889,0.0061,0.7011,0.0031,0.4997,0.0046,0.6623,9.9807,0.0,DecisionTree,0.9529088008710702,0.9473066242071211,0.9528282472087768,0.9529088008710702,0.9529088008710702,0.9527030676204136,0.952848123975766,0.9528555320984649,0.9529293635484255
mv,x4,40768.0,0.4522,0.9764,-7.4995,2.4997,-4.3962,-5.73,3.0211,0.9737,-0.5912,1.039,4.889,0.0061,0.7011,0.0031,0.4997,0.0046,0.6623,9.9807,0.0,LogisticRegression,0.9492844713605186,0.9477336931503968,0.9493591892163538,0.9497104944869614,0.9496264493014333,0.9494282997524373,0.9496307107470945,0.9486746122678202,0.9497307109183004
mv,x4,40768.0,0.4522,0.9764,-7.4995,2.4997,-4.3962,-5.73,3.0211,0.9737,-0.5912,1.039,4.889,0.0061,0.7011,0.0031,0.4997,0.0046,0.6623,9.9807,0.0,KNN,0.9498447957706019,0.9480409969389886,0.9487530951012526,0.9493615380185549,0.9495608434132329,0.9499182869156569,0.9496821226616348,0.9491757255055493,0.9491940042509825
mv,x4,40768.0,0.4522,0.9764,-7.4995,2.4997,-4.3962,-5.73,3.0211,0.9737,-0.5912,1.039,4.889,0.0061,0.7011,0.0031,0.4997,0.0046,0.6623,9.9807,0.0,RandomForest,0.9532530789569127,0.9517995134009268,0.952992792535895,0.953417469435228,0.9528282247776159,0.953462151993459,0.9534041185174889,0.9532879401457948,0.9535985762557623
