name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
abalone,'Length',4177.0,0.5114,0.0642,0.11,0.8,0.5242,0.545,0.1208,-0.6194,0.0155,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5087,0.0055,DecisionTree,0.161541376226276,0.1559519800400332,0.1519614571541545,0.1520089243068848,0.1519931607215736,0.1555773063789841,0.144100604994511,0.1703981488311702,0.1556171515490996
abalone,'Length',4177.0,0.5114,0.0642,0.11,0.8,0.5242,0.545,0.1208,-0.6194,0.0155,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5087,0.0055,LogisticRegression,0.1627111713536602,0.1328865813889903,0.1605450241732453,0.1609872514209789,0.1601906294698309,0.1599214735711045,0.1607044884283638,0.1584070626314868,0.1622235591978755
abalone,'Length',4177.0,0.5114,0.0642,0.11,0.8,0.5242,0.545,0.1208,-0.6194,0.0155,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5087,0.0055,KNN,0.1601848515042745,0.1439456099670039,0.151336810309265,0.1531480269102698,0.1487702700371043,0.1561102476149626,0.1670077723137998,0.1662560951948053,0.1514069590342087
abalone,'Length',4177.0,0.5114,0.0642,0.11,0.8,0.5242,0.545,0.1208,-0.6194,0.0155,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5087,0.0055,RandomForest,0.1794489594833953,0.1708333841361359,0.1715137687699181,0.1718450473402974,0.1723295091375672,0.1709968642183056,0.1709436396959732,0.1806376709421576,0.1720340207943266
abalone,'Length',4177.0,0.5114,0.0642,0.11,0.8,0.5242,0.545,0.1208,-0.6194,0.0155,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5087,0.0055,AdaBoost,0.0916157176702655,0.0921053836885139,0.0859775465294088,0.0859775465294088,0.0859775465294088,0.0859775465294088,0.0926676011195957,0.0895469286283069,0.0859775465294088
abalone,'Length',4177.0,0.5114,0.0642,0.11,0.8,0.5242,0.545,0.1208,-0.6194,0.0155,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5087,0.0055,SVC,0.1713190213527169,0.1470544089397419,0.1579399203815946,0.1578997327711935,0.1576064733522481,0.1584025780366031,0.1579669809341989,0.1690772474424481,0.1584527456302946
abalone,'Length',4177.0,0.4604,0.0577,0.075,0.8,0.5267,0.55,0.121,-0.6513,0.0444,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5067,0.0056,DecisionTree,0.1659447881064389,0.1605337484672221,0.1774033439845599,0.1774256416243168,0.1771497468137946,0.1772755707466484,0.1703804789352482,0.1647617763180989,0.1736449623235123
abalone,'Length',4177.0,0.4604,0.0577,0.075,0.8,0.5267,0.55,0.121,-0.6513,0.0444,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5067,0.0056,LogisticRegression,0.174282464198085,0.1512916100681685,0.160627225113002,0.1606106850048955,0.1609180834382325,0.1600544366404996,0.1619818290255472,0.1732840773611129,0.1628097315947997
abalone,'Length',4177.0,0.4604,0.0577,0.075,0.8,0.5267,0.55,0.121,-0.6513,0.0444,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5067,0.0056,KNN,0.160714270221044,0.1656401718266616,0.1607506309985588,0.1593259249919033,0.1629372044683247,0.1629508827462714,0.180137388590665,0.1744325785241361,0.1664564682875739
abalone,'Length',4177.0,0.4604,0.0577,0.075,0.8,0.5267,0.55,0.121,-0.6513,0.0444,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.5067,0.0056,RandomForest,0.1754771028074171,0.1635386606225721,0.1779357033045978,0.1774849955737208,0.1781479004502061,0.1776191747025728,0.1800067709269757,0.175336152458881,0.1794323416990531
