name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
abalone,'Length',4177.0,0.4903,0.0597,0.075,0.8,0.526,0.55,0.1199,-0.6902,0.0996,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4903,0.0059,DecisionTree,0.1544175672915135,0.1497659246001474,0.1532350349023565,0.1536796540168922,0.1529091149560907,0.1533537340706264,0.1657826344622741,0.1678371525598651,0.1590329094825046
abalone,'Length',4177.0,0.4903,0.0597,0.075,0.8,0.526,0.55,0.1199,-0.6902,0.0996,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4903,0.0059,LogisticRegression,0.1650637128618068,0.144194819375657,0.1654459387049167,0.1647412510142099,0.163365597772893,0.1650129092991784,0.1673026337635789,0.1648721625205899,0.1660045484437503
abalone,'Length',4177.0,0.4903,0.0597,0.075,0.8,0.526,0.55,0.1199,-0.6902,0.0996,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4903,0.0059,KNN,0.1598920239854101,0.1574216937854139,0.1614638451988389,0.1599510260321886,0.1631482212767944,0.1480869565316624,0.1709910016263839,0.1627997214449187,0.1545307325665957
abalone,'Length',4177.0,0.4903,0.0597,0.075,0.8,0.526,0.55,0.1199,-0.6902,0.0996,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4903,0.0059,RandomForest,0.1757041647851101,0.1635630062143525,0.170972743399728,0.1706468115714364,0.1707797786255109,0.1715082469740179,0.1839905056594309,0.1775905540467985,0.1709477439660297
abalone,'Length',4177.0,0.4903,0.0597,0.075,0.8,0.526,0.55,0.1199,-0.6902,0.0996,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4903,0.0059,AdaBoost,0.0901110505125707,0.0892286365533145,0.0845995900510049,0.0845995900510049,0.0845995900510049,0.0845995900510049,0.0845995900510049,0.0901110505125707,0.0845995900510049
abalone,'Length',4177.0,0.4903,0.0597,0.075,0.8,0.526,0.55,0.1199,-0.6902,0.0996,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4903,0.0059,SVC,0.1670527681086039,0.1468988150390962,0.1613002640989278,0.1612858735582214,0.1613002640989278,0.1612138122923795,0.1635130092241187,0.1658521319980336,0.1613515804419412
abalone,'Length',4177.0,0.446,0.0557,0.11,0.815,0.5249,0.545,0.1191,-0.6571,0.0901,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4978,0.005,DecisionTree,0.1927232715093438,0.1773253583431888,0.1705269605990464,0.1648669190246692,0.1648669190246692,0.1613306716097295,0.1714126949301546,0.1734730751645794,0.1737936533507641
abalone,'Length',4177.0,0.446,0.0557,0.11,0.815,0.5249,0.545,0.1191,-0.6571,0.0901,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4978,0.005,LogisticRegression,0.1738683210721316,0.150939444829714,0.1793012693086806,0.1803954792815112,0.1795990482569023,0.1807108681013868,0.1790635417515954,0.1741664181484217,0.1791868621517067
abalone,'Length',4177.0,0.446,0.0557,0.11,0.815,0.5249,0.545,0.1191,-0.6571,0.0901,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4978,0.005,KNN,0.173145637340584,0.1715532921646073,0.1735486197636541,0.1672562991624742,0.168583502369523,0.174460316215317,0.183589068255102,0.1738794208013205,0.1663269164012989
abalone,'Length',4177.0,0.446,0.0557,0.11,0.815,0.5249,0.545,0.1191,-0.6571,0.0901,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4978,0.005,RandomForest,0.1867159934597908,0.1830980739560187,0.1861107170731123,0.1856339400668997,0.1863601928444093,0.1852454184168599,0.1810456023882787,0.1782032576276316,0.185152687485805
