name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
abalone,'Length',4177.0,0.4963,0.0599,0.13,0.78,0.5237,0.545,0.1183,-0.5852,-0.0164,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4921,0.006,DecisionTree,0.1731303688858341,0.1599146695391771,0.1623931090049307,0.1623931090049307,0.1623931090049307,0.1623881599983536,0.1628776496943233,0.1724994893635373,0.166569675071998
abalone,'Length',4177.0,0.4963,0.0599,0.13,0.78,0.5237,0.545,0.1183,-0.5852,-0.0164,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4921,0.006,LogisticRegression,0.1692443245481014,0.1399504821888911,0.1656411802664456,0.1655632928214451,0.1660613165517792,0.1651757232857819,0.1688734158765678,0.1560437611625913,0.1651965680208535
abalone,'Length',4177.0,0.4963,0.0599,0.13,0.78,0.5237,0.545,0.1183,-0.5852,-0.0164,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4921,0.006,KNN,0.1624088654922576,0.1604804923513733,0.1593700192908597,0.1562076611302663,0.1541803931596254,0.1598177300793774,0.170422018403131,0.1590974815627731,0.1616657071137582
abalone,'Length',4177.0,0.4963,0.0599,0.13,0.78,0.5237,0.545,0.1183,-0.5852,-0.0164,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4921,0.006,RandomForest,0.1781171732340682,0.1748832747463184,0.1719341947843628,0.1724293603243383,0.1731252043391417,0.1725110622792403,0.1760734443481367,0.1788373870369786,0.1721122583288533
abalone,'Length',4177.0,0.4963,0.0599,0.13,0.78,0.5237,0.545,0.1183,-0.5852,-0.0164,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4921,0.006,AdaBoost,0.0816245014852627,0.0800363489298678,0.0859978980690455,0.0859978980690455,0.0859978980690455,0.0863301681381577,0.0869727677012798,0.0773846186454414,0.0858612497274897
abalone,'Length',4177.0,0.4963,0.0599,0.13,0.78,0.5237,0.545,0.1183,-0.5852,-0.0164,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4921,0.006,SVC,0.1684100550774625,0.1411538355420475,0.1552830615178801,0.1555899786202258,0.1554663323787016,0.1547893859717098,0.1503666186895511,0.1679195548489806,0.1546474857099745
abalone,'Length',4177.0,0.4405,0.0552,0.075,0.815,0.5225,0.54,0.1198,-0.6119,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.504,0.0057,DecisionTree,0.1797930270281435,0.1785971881531103,0.1704954296867248,0.1704954296867248,0.1704954296867248,0.1706848355688494,0.1714400855443321,0.1810166765306068,0.1706658349864108
abalone,'Length',4177.0,0.4405,0.0552,0.075,0.815,0.5225,0.54,0.1198,-0.6119,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.504,0.0057,LogisticRegression,0.1745592991996785,0.1601801105105911,0.1809681565338498,0.1812685917978532,0.1812123268498733,0.1820105463812499,0.1843259001316565,0.1679005303565202,0.1815466926795143
abalone,'Length',4177.0,0.4405,0.0552,0.075,0.815,0.5225,0.54,0.1198,-0.6119,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.504,0.0057,KNN,0.1747173900752726,0.1704722733680977,0.1675223354182434,0.1654040846173625,0.1697156898395459,0.1703499276665091,0.1795073444787714,0.1720234714672337,0.1725149631949297
abalone,'Length',4177.0,0.4405,0.0552,0.075,0.815,0.5225,0.54,0.1198,-0.6119,0.0157,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.504,0.0057,RandomForest,0.1749455773312544,0.1759122840841279,0.1756390981643447,0.1763310320742697,0.1759636016153873,0.1759826828594786,0.1780463837596173,0.1798739502319517,0.1753692482782949
